Job_ID,Job_Title,Industry,Location,Work_Type,Experience_Level,Required_Skills,Min_Salary_INR,Max_Salary_INR,Posting_Date
JOB-203984,Product Manager,IT & Tech,Delhi,On-Site,Executive,"React, Node.js",3092655,4248225,2026-05-24
JOB-203985,Content Strategist,Marketing,Gurugram,On-Site,Lead,Digital Marketing,2044074,2675686,2026-01-03
JOB-203986,Healthcare Administrator,Healthcare,Pune,Remote,Lead,"Bioinformatics, Python",1847671,2620378,2026-05-27
JOB-203987,Social Media Expert,Marketing,Chennai,Hybrid,Executive,Content Writing,2611633,3351468,2026-03-30
JOB-203988,Marketing Manager,Marketing,Pune,On-Site,Senior,Social Media Management,1622858,2150200,2026-05-06
JOB-203989,Data Scientist,IT & Tech,Bengaluru,Hybrid,Lead,"Python, SQL",2697163,3312906,2026-04-02
JOB-203990,Cybersecurity Analyst,IT & Tech,Hyderabad,Hybrid,Senior,"Python, Machine Learning",2067140,3083646,2026-04-25
JOB-203991,Clinical Data Analyst,Healthcare,Noida,On-Site,Mid-Level,Hospital Administration,1391075,1753110,2026-05-25
JOB-203992,Content Strategist,Marketing,Chennai,Hybrid,Lead,"SEO, Google Analytics",1641575,2049755,2026-02-09
JOB-203993,SEO Specialist,Marketing,Pune,Remote,Entry-Level,"SEO, Google Analytics",477676,663314,2026-03-10
JOB-203994,Investment Banker,Finance,Bengaluru,Hybrid,Senior,"Financial Modeling, Excel",1604367,2121298,2026-04-14
JOB-203995,Cybersecurity Analyst,IT & Tech,Noida,Remote,Senior,"SQL, Tableau, Power BI",1899117,2792258,2026-01-31
JOB-203996,Accountant,Finance,Chennai,Remote,Entry-Level,"Accounting, Tally",538337,668618,2026-05-09
JOB-203997,Social Media Expert,Marketing,Hyderabad,Remote,Lead,Content Writing,1856696,2686702,2026-01-22
JOB-203998,SEO Specialist,Marketing,Delhi,On-Site,Mid-Level,Social Media Management,1247031,1625696,2026-04-16
JOB-203999,Bioinformatics Scientist,Healthcare,Noida,On-Site,Entry-Level,"Healthcare Data, SQL",530924,722215,2026-01-25
JOB-204000,Product Manager,IT & Tech,Delhi,On-Site,Mid-Level,"SQL, Tableau, Power BI",1469780,2022755,2026-04-17
JOB-204001,Clinical Data Analyst,Healthcare,Hyderabad,Hybrid,Senior,Hospital Administration,1475424,1851881,2026-04-29
JOB-204002,Social Media Expert,Marketing,Gurugram,Remote,Senior,Digital Marketing,1202160,1503540,2026-03-24
JOB-204003,Clinical Data Analyst,Healthcare,Pune,Hybrid,Mid-Level,"Bioinformatics, Python",1273527,1777876,2026-03-03
JOB-204004,Cloud Architect,IT & Tech,Gurugram,On-Site,Executive,"AWS, Docker",3370942,4594753,2026-04-19
JOB-204005,Risk Manager,Finance,Chennai,Remote,Executive,"Financial Modeling, Excel",2967023,3937522,2026-01-29
JOB-204006,Software Engineer,IT & Tech,Bengaluru,On-Site,Mid-Level,"Python, SQL",1520831,2084657,2026-04-17
JOB-204007,Risk Manager,Finance,Delhi,Hybrid,Mid-Level,Investment Analysis,1469504,1820150,2026-02-22
JOB-204008,Cybersecurity Analyst,IT & Tech,Delhi,Remote,Lead,"Python, Machine Learning",2639098,3665766,2026-05-24
JOB-204009,Content Strategist,Marketing,Delhi,Remote,Mid-Level,Social Media Management,889839,1282483,2026-02-08
JOB-204010,Healthcare Administrator,Healthcare,Delhi,Remote,Lead,"Healthcare Data, SQL",1836809,2234210,2026-02-24
JOB-204011,Risk Manager,Finance,Bengaluru,Remote,Senior,Investment Analysis,1684117,2040786,2026-02-24
JOB-204012,Cloud Architect,IT & Tech,Mumbai,Remote,Senior,"AWS, Docker",2071678,2566178,2026-02-11
JOB-204013,Bioinformatics Scientist,Healthcare,Chennai,Remote,Senior,Hospital Administration,1488882,2173580,2026-01-25
JOB-204014,Bioinformatics Scientist,Healthcare,Chennai,Hybrid,Lead,"Healthcare Data, SQL",2165073,2721501,2026-02-01
JOB-204015,Investment Banker,Finance,Pune,Hybrid,Senior,Risk Assessment,1863960,2764592,2026-04-19
JOB-204016,Clinical Data Analyst,Healthcare,Chennai,Hybrid,Entry-Level,"Healthcare Data, SQL",872382,1293858,2026-01-30
JOB-204017,Marketing Manager,Marketing,Delhi,On-Site,Mid-Level,Digital Marketing,1017975,1305991,2026-01-28
JOB-204018,Product Manager,IT & Tech,Hyderabad,Remote,Senior,"Python, SQL",1442048,1921341,2026-01-13
JOB-204019,Cloud Architect,IT & Tech,Hyderabad,Hybrid,Lead,"SQL, Tableau, Power BI",2146948,2801161,2026-03-01
JOB-204020,Accountant,Finance,Gurugram,On-Site,Executive,"Accounting, Tally",2851419,3761738,2026-05-29
JOB-204021,Accountant,Finance,Mumbai,Hybrid,Entry-Level,Risk Assessment,1171890,1553576,2026-02-28
JOB-204022,Content Strategist,Marketing,Gurugram,Hybrid,Executive,Content Writing,2787942,3789076,2026-05-27
JOB-204023,Social Media Expert,Marketing,Noida,On-Site,Mid-Level,Content Writing,1177403,1528999,2026-03-17
JOB-204024,Financial Analyst,Finance,Gurugram,On-Site,Entry-Level,Risk Assessment,776428,973153,2026-04-26
JOB-204025,Product Manager,IT & Tech,Gurugram,On-Site,Lead,"SQL, Tableau, Power BI",2560763,3398726,2026-05-22
JOB-204026,Healthcare Administrator,Healthcare,Noida,Remote,Mid-Level,Hospital Administration,910383,1346297,2026-04-13
JOB-204027,Software Engineer,IT & Tech,Hyderabad,Hybrid,Executive,"Python, Machine Learning",3046885,4049324,2026-01-02
JOB-204028,DevOps Engineer,IT & Tech,Mumbai,On-Site,Executive,"Python, SQL",3000940,4156454,2026-05-27
JOB-204029,Risk Manager,Finance,Chennai,Remote,Executive,"Accounting, Tally",2470790,3216016,2026-03-18
JOB-204030,Product Manager,IT & Tech,Hyderabad,Hybrid,Entry-Level,"SQL, Tableau, Power BI",926883,1129427,2026-01-12
JOB-204031,Cloud Architect,IT & Tech,Bengaluru,Hybrid,Mid-Level,"SQL, Tableau, Power BI",1129434,1668443,2026-03-09
JOB-204032,Product Manager,IT & Tech,Gurugram,On-Site,Entry-Level,"Python, SQL",1069815,1534246,2026-01-10
JOB-204033,Data Scientist,IT & Tech,Mumbai,On-Site,Entry-Level,"Cybersecurity, Network",793567,1006909,2026-03-16
JOB-204034,Investment Banker,Finance,Gurugram,On-Site,Executive,"Financial Modeling, Excel",2597444,3173825,2026-05-23
JOB-204035,Investment Banker,Finance,Noida,Hybrid,Executive,"Accounting, Tally",2523663,3401672,2026-05-14
JOB-204036,Content Strategist,Marketing,Delhi,Remote,Entry-Level,Social Media Management,678135,1000094,2026-01-07
JOB-204037,Bioinformatics Scientist,Healthcare,Pune,Remote,Senior,Hospital Administration,1290375,1669723,2026-01-12
JOB-204038,Investment Banker,Finance,Bengaluru,Remote,Mid-Level,"Financial Modeling, Excel",1001531,1265161,2026-05-08
JOB-204039,Bioinformatics Scientist,Healthcare,Pune,Hybrid,Executive,"Bioinformatics, Python",2807776,3683090,2026-03-14
JOB-204040,Clinical Data Analyst,Healthcare,Mumbai,On-Site,Mid-Level,Hospital Administration,1373404,1735884,2026-04-27
JOB-204041,Risk Manager,Finance,Mumbai,Hybrid,Entry-Level,"Financial Modeling, Excel",623806,927279,2026-01-08
JOB-204042,Software Engineer,IT & Tech,Noida,On-Site,Executive,"React, Node.js",2994793,4172857,2026-02-05
JOB-204043,Social Media Expert,Marketing,Noida,Hybrid,Senior,Social Media Management,1611748,2374007,2026-04-27
JOB-204044,Financial Analyst,Finance,Chennai,Hybrid,Entry-Level,"Accounting, Tally",898431,1250637,2026-03-19
JOB-204045,Bioinformatics Scientist,Healthcare,Noida,Hybrid,Entry-Level,"Bioinformatics, Python",902715,1345288,2026-05-11
JOB-204046,Healthcare Administrator,Healthcare,Delhi,Hybrid,Senior,"Healthcare Data, SQL",1570008,2048329,2026-04-25
JOB-204047,Social Media Expert,Marketing,Chennai,Hybrid,Lead,Social Media Management,1611472,2243870,2026-03-26
JOB-204048,SEO Specialist,Marketing,Hyderabad,Hybrid,Mid-Level,Social Media Management,859876,1147514,2026-04-29
JOB-204049,Product Manager,IT & Tech,Mumbai,Hybrid,Entry-Level,"Python, Machine Learning",728909,997766,2026-05-18
JOB-204050,Bioinformatics Scientist,Healthcare,Chennai,On-Site,Senior,"Healthcare Data, SQL",1424900,1789718,2026-04-10
JOB-204051,Investment Banker,Finance,Bengaluru,On-Site,Senior,Risk Assessment,1904230,2749436,2026-02-24
JOB-204052,Investment Banker,Finance,Delhi,Hybrid,Entry-Level,"Accounting, Tally",552854,729107,2026-03-06
JOB-204053,Investment Banker,Finance,Bengaluru,Remote,Mid-Level,"Financial Modeling, Excel",1422606,2063927,2026-02-11
JOB-204054,Bioinformatics Scientist,Healthcare,Noida,Remote,Entry-Level,"Bioinformatics, Python",499851,706081,2026-03-08
JOB-204055,Content Strategist,Marketing,Chennai,Hybrid,Lead,Content Writing,2064779,2613491,2026-03-16
JOB-204056,Investment Banker,Finance,Mumbai,On-Site,Lead,Risk Assessment,1736517,2368016,2026-02-11
JOB-204057,Content Strategist,Marketing,Bengaluru,Remote,Lead,"SEO, Google Analytics",1630535,2175796,2026-03-21
JOB-204058,Bioinformatics Scientist,Healthcare,Mumbai,On-Site,Senior,Hospital Administration,1682117,2290370,2026-01-03
JOB-204059,Accountant,Finance,Delhi,Hybrid,Executive,"Financial Modeling, Excel",2740547,4103678,2026-03-29
JOB-204060,Product Manager,IT & Tech,Mumbai,On-Site,Executive,"Python, Machine Learning",2762226,3743489,2026-03-04
JOB-204061,Cybersecurity Analyst,IT & Tech,Delhi,On-Site,Lead,"React, Node.js",1999399,2931123,2026-03-15
JOB-204062,Bioinformatics Scientist,Healthcare,Noida,Hybrid,Executive,"Healthcare Data, SQL",2784328,3925714,2026-05-29
JOB-204063,Cybersecurity Analyst,IT & Tech,Noida,Remote,Senior,"AWS, Docker",1350900,1817498,2026-04-08
JOB-204064,Risk Manager,Finance,Noida,Remote,Mid-Level,Risk Assessment,1304957,1627763,2026-03-20
JOB-204065,Data Scientist,IT & Tech,Delhi,Remote,Senior,"React, Node.js",2198121,2642620,2026-04-29
JOB-204066,Data Scientist,IT & Tech,Chennai,Hybrid,Entry-Level,"Java, Spring Boot",1110282,1352074,2026-02-23
JOB-204067,Clinical Data Analyst,Healthcare,Pune,Hybrid,Senior,Hospital Administration,1487150,1912393,2026-04-19
JOB-204068,Content Strategist,Marketing,Chennai,Remote,Executive,"SEO, Google Analytics",2736674,3694341,2026-01-25
JOB-204069,Cloud Architect,IT & Tech,Hyderabad,Hybrid,Lead,"React, Node.js",2551689,3718475,2026-05-10
JOB-204070,Accountant,Finance,Pune,Remote,Senior,Risk Assessment,1281164,1862011,2026-03-09
JOB-204071,Healthcare Administrator,Healthcare,Hyderabad,Hybrid,Lead,Hospital Administration,1982896,2414273,2026-03-05
JOB-204072,Cloud Architect,IT & Tech,Delhi,Hybrid,Lead,"AWS, Docker",2465564,3360832,2026-02-04
JOB-204073,Cybersecurity Analyst,IT & Tech,Gurugram,On-Site,Entry-Level,"Python, Machine Learning",600315,757284,2026-03-17
JOB-204074,Healthcare Administrator,Healthcare,Chennai,On-Site,Lead,"Bioinformatics, Python",2084065,2570365,2026-04-18
JOB-204075,Healthcare Administrator,Healthcare,Hyderabad,On-Site,Entry-Level,"Healthcare Data, SQL",758255,1074628,2026-01-25
JOB-204076,SEO Specialist,Marketing,Pune,Remote,Lead,Content Writing,2002968,2576949,2026-01-15
JOB-204077,Marketing Manager,Marketing,Gurugram,Hybrid,Lead,Digital Marketing,2021995,2837935,2026-03-16
JOB-204078,Cybersecurity Analyst,IT & Tech,Hyderabad,Remote,Lead,"Java, Spring Boot",2424574,3554729,2026-02-18
JOB-204079,Cloud Architect,IT & Tech,Hyderabad,On-Site,Senior,"Java, Spring Boot",2163140,2629805,2026-01-04
JOB-204080,Content Strategist,Marketing,Pune,Hybrid,Mid-Level,Social Media Management,868852,1226522,2026-02-28
JOB-204081,Cybersecurity Analyst,IT & Tech,Noida,Remote,Lead,"Python, SQL",1957945,2439635,2026-03-24
JOB-204082,Risk Manager,Finance,Mumbai,Hybrid,Lead,"Financial Modeling, Excel",2396451,3584998,2026-04-09
JOB-204083,SEO Specialist,Marketing,Gurugram,On-Site,Lead,"SEO, Google Analytics",1878170,2594352,2026-03-23
JOB-204084,Investment Banker,Finance,Pune,Remote,Senior,"Financial Modeling, Excel",1448025,1992020,2026-05-11
JOB-204085,Healthcare Administrator,Healthcare,Bengaluru,Remote,Lead,"Bioinformatics, Python",2117719,2767107,2026-04-09
JOB-204086,Bioinformatics Scientist,Healthcare,Gurugram,Hybrid,Mid-Level,Hospital Administration,1116802,1423285,2026-02-08
JOB-204087,Investment Banker,Finance,Hyderabad,On-Site,Entry-Level,Investment Analysis,1140044,1581357,2026-03-07
JOB-204088,Content Strategist,Marketing,Hyderabad,Hybrid,Mid-Level,Social Media Management,1152847,1508012,2026-05-14
JOB-204089,Marketing Manager,Marketing,Mumbai,Remote,Senior,Social Media Management,1556425,2216042,2026-01-01
JOB-204090,Accountant,Finance,Gurugram,On-Site,Senior,Risk Assessment,1892980,2305880,2026-03-26
JOB-204091,Social Media Expert,Marketing,Chennai,On-Site,Senior,Digital Marketing,1600717,2309102,2026-01-17
JOB-204092,Social Media Expert,Marketing,Noida,On-Site,Lead,Digital Marketing,1807489,2641418,2026-01-30
JOB-204093,Financial Analyst,Finance,Hyderabad,Remote,Executive,"Accounting, Tally",2736816,3529633,2026-04-11
JOB-204094,Risk Manager,Finance,Gurugram,Hybrid,Mid-Level,"Accounting, Tally",1407977,1789833,2026-01-15
JOB-204095,Marketing Manager,Marketing,Gurugram,Remote,Entry-Level,Digital Marketing,611949,913518,2026-01-16
JOB-204096,Product Manager,IT & Tech,Gurugram,Remote,Entry-Level,"Python, Machine Learning",840099,1040172,2026-04-20
JOB-204097,Cybersecurity Analyst,IT & Tech,Pune,On-Site,Senior,"Cybersecurity, Network",1664004,2133906,2026-03-06
JOB-204098,Healthcare Administrator,Healthcare,Delhi,Hybrid,Executive,Hospital Administration,2502265,3203379,2026-02-21
JOB-204099,Data Scientist,IT & Tech,Noida,Hybrid,Entry-Level,"Python, SQL",894362,1320331,2026-02-23
JOB-204100,DevOps Engineer,IT & Tech,Gurugram,Hybrid,Entry-Level,"Python, Machine Learning",724475,986106,2026-03-01
JOB-204101,Cloud Architect,IT & Tech,Mumbai,On-Site,Senior,"AWS, Docker",2008382,2875982,2026-03-10
JOB-204102,Bioinformatics Scientist,Healthcare,Delhi,Remote,Senior,"Healthcare Data, SQL",1301786,1801260,2026-04-27
JOB-204103,SEO Specialist,Marketing,Pune,Remote,Mid-Level,"SEO, Google Analytics",811249,976140,2026-02-26
JOB-204104,Accountant,Finance,Hyderabad,Hybrid,Executive,"Financial Modeling, Excel",2941763,4265848,2026-03-07
JOB-204105,Risk Manager,Finance,Hyderabad,Hybrid,Senior,"Financial Modeling, Excel",1659899,2100297,2026-01-10
JOB-204106,Clinical Data Analyst,Healthcare,Chennai,Hybrid,Senior,"Bioinformatics, Python",1582743,2099659,2026-05-06
JOB-204107,Investment Banker,Finance,Delhi,Remote,Executive,"Financial Modeling, Excel",2535939,3459885,2026-05-09
JOB-204108,DevOps Engineer,IT & Tech,Mumbai,Remote,Executive,"Python, SQL",3253368,4770961,2026-03-07
JOB-204109,Product Manager,IT & Tech,Pune,On-Site,Entry-Level,"SQL, Tableau, Power BI",1231664,1488068,2026-04-15
JOB-204110,SEO Specialist,Marketing,Mumbai,Remote,Entry-Level,"SEO, Google Analytics",744081,916768,2026-02-27
JOB-204111,Bioinformatics Scientist,Healthcare,Hyderabad,On-Site,Entry-Level,"Bioinformatics, Python",775879,965300,2026-02-07
JOB-204112,Healthcare Administrator,Healthcare,Delhi,Remote,Mid-Level,Hospital Administration,944178,1415349,2026-02-28
JOB-204113,Content Strategist,Marketing,Mumbai,Hybrid,Senior,Digital Marketing,1615116,1953708,2026-03-11
JOB-204114,Healthcare Administrator,Healthcare,Gurugram,Remote,Executive,"Bioinformatics, Python",2896182,4284713,2026-05-30
JOB-204115,Financial Analyst,Finance,Bengaluru,On-Site,Lead,"Financial Modeling, Excel",1856462,2783156,2026-01-03
JOB-204116,Bioinformatics Scientist,Healthcare,Delhi,Remote,Executive,"Bioinformatics, Python",2885181,3638115,2026-04-05
JOB-204117,Bioinformatics Scientist,Healthcare,Hyderabad,Remote,Senior,"Bioinformatics, Python",1351246,1854026,2026-01-29
JOB-204118,Content Strategist,Marketing,Hyderabad,On-Site,Lead,Content Writing,1791298,2298023,2026-05-29
JOB-204119,Software Engineer,IT & Tech,Gurugram,Remote,Senior,"React, Node.js",1397202,1774389,2026-02-14
JOB-204120,Cloud Architect,IT & Tech,Mumbai,Remote,Entry-Level,"Python, SQL",953905,1251593,2026-05-31
JOB-204121,Social Media Expert,Marketing,Bengaluru,Remote,Entry-Level,Social Media Management,389328,561135,2026-03-19
JOB-204122,SEO Specialist,Marketing,Bengaluru,Hybrid,Mid-Level,Social Media Management,1255022,1704333,2026-03-01
JOB-204123,Bioinformatics Scientist,Healthcare,Hyderabad,On-Site,Mid-Level,"Healthcare Data, SQL",1211565,1673518,2026-01-22
JOB-204124,Accountant,Finance,Hyderabad,On-Site,Entry-Level,"Financial Modeling, Excel",1016544,1342625,2026-02-04
JOB-204125,Cybersecurity Analyst,IT & Tech,Bengaluru,Remote,Senior,"Java, Spring Boot",1544744,2035892,2026-05-14
JOB-204126,Content Strategist,Marketing,Pune,On-Site,Mid-Level,Digital Marketing,1120421,1345261,2026-04-10
JOB-204127,Bioinformatics Scientist,Healthcare,Delhi,Hybrid,Entry-Level,Hospital Administration,907360,1248352,2026-03-29
JOB-204128,Social Media Expert,Marketing,Mumbai,Hybrid,Senior,"SEO, Google Analytics",1202756,1630649,2026-01-03
JOB-204129,Investment Banker,Finance,Bengaluru,Hybrid,Senior,"Financial Modeling, Excel",1693688,2206089,2026-03-31
JOB-204130,Marketing Manager,Marketing,Chennai,On-Site,Executive,"SEO, Google Analytics",2463306,3415090,2026-04-10
JOB-204131,Cybersecurity Analyst,IT & Tech,Noida,Hybrid,Mid-Level,"React, Node.js",1879428,2351333,2026-04-07
JOB-204132,Clinical Data Analyst,Healthcare,Gurugram,Remote,Entry-Level,"Healthcare Data, SQL",723043,951320,2026-01-29
JOB-204133,Clinical Data Analyst,Healthcare,Bengaluru,Hybrid,Entry-Level,"Healthcare Data, SQL",877238,1242589,2026-04-06
JOB-204134,Bioinformatics Scientist,Healthcare,Mumbai,On-Site,Mid-Level,"Healthcare Data, SQL",1061444,1340690,2026-02-16
JOB-204135,Financial Analyst,Finance,Delhi,Hybrid,Executive,Risk Assessment,3179714,4283399,2026-05-14
JOB-204136,Software Engineer,IT & Tech,Delhi,Hybrid,Senior,"React, Node.js",1886076,2614924,2026-05-19
JOB-204137,Financial Analyst,Finance,Hyderabad,On-Site,Executive,Investment Analysis,2517424,3684498,2026-02-05
JOB-204138,Risk Manager,Finance,Hyderabad,Remote,Senior,Risk Assessment,1349125,1674238,2026-01-16
JOB-204139,DevOps Engineer,IT & Tech,Bengaluru,On-Site,Entry-Level,"Python, SQL",977679,1267079,2026-05-05
JOB-204140,Cloud Architect,IT & Tech,Chennai,Remote,Entry-Level,"Java, Spring Boot",1219084,1826922,2026-04-15
JOB-204141,Investment Banker,Finance,Gurugram,Remote,Lead,Investment Analysis,2332985,3412939,2026-01-21
JOB-204142,Social Media Expert,Marketing,Bengaluru,On-Site,Mid-Level,Social Media Management,996017,1447650,2026-03-06
JOB-204143,Content Strategist,Marketing,Bengaluru,On-Site,Lead,Social Media Management,1903521,2845890,2026-01-29
JOB-204144,Bioinformatics Scientist,Healthcare,Chennai,On-Site,Lead,Hospital Administration,2199422,2657893,2026-02-02
JOB-204145,Bioinformatics Scientist,Healthcare,Pune,Hybrid,Senior,Hospital Administration,1317409,1954277,2026-02-25
JOB-204146,Financial Analyst,Finance,Hyderabad,Hybrid,Executive,Investment Analysis,2769379,3487419,2026-04-12
JOB-204147,Content Strategist,Marketing,Noida,Hybrid,Lead,Content Writing,1777646,2419351,2026-05-08
JOB-204148,Clinical Data Analyst,Healthcare,Bengaluru,On-Site,Senior,"Healthcare Data, SQL",1421570,1808344,2026-04-18
JOB-204149,Clinical Data Analyst,Healthcare,Gurugram,Remote,Senior,Hospital Administration,1272267,1564221,2026-02-15
JOB-204150,Software Engineer,IT & Tech,Mumbai,Hybrid,Senior,"AWS, Docker",1566026,2305200,2026-05-11
JOB-204151,Content Strategist,Marketing,Bengaluru,On-Site,Senior,Digital Marketing,1594783,2003150,2026-05-10
JOB-204152,Marketing Manager,Marketing,Hyderabad,On-Site,Mid-Level,"SEO, Google Analytics",1265847,1640532,2026-01-11
JOB-204153,Data Scientist,IT & Tech,Gurugram,Remote,Entry-Level,"Java, Spring Boot",1397980,1847539,2026-04-06
JOB-204154,Social Media Expert,Marketing,Chennai,Remote,Senior,Social Media Management,1647959,2184172,2026-01-31
JOB-204155,Bioinformatics Scientist,Healthcare,Hyderabad,Hybrid,Executive,"Healthcare Data, SQL",2730600,3388720,2026-01-21
JOB-204156,Cloud Architect,IT & Tech,Bengaluru,Hybrid,Executive,"Cybersecurity, Network",3295419,4485466,2026-02-09
JOB-204157,DevOps Engineer,IT & Tech,Bengaluru,On-Site,Lead,"Cybersecurity, Network",2207444,3308180,2026-04-22
JOB-204158,Clinical Data Analyst,Healthcare,Gurugram,Remote,Mid-Level,"Healthcare Data, SQL",927515,1363255,2026-05-12
JOB-204159,Cloud Architect,IT & Tech,Hyderabad,On-Site,Senior,"React, Node.js",2260594,3382532,2026-01-18
JOB-204160,Content Strategist,Marketing,Chennai,Hybrid,Mid-Level,Digital Marketing,1150559,1541409,2026-04-15
JOB-204161,Clinical Data Analyst,Healthcare,Hyderabad,Hybrid,Executive,Hospital Administration,2913096,4200839,2026-05-27
JOB-204162,Content Strategist,Marketing,Delhi,Remote,Executive,Content Writing,2687180,3907603,2026-03-18
JOB-204163,Bioinformatics Scientist,Healthcare,Pune,On-Site,Executive,"Healthcare Data, SQL",2594756,3442015,2026-04-22
JOB-204164,Accountant,Finance,Hyderabad,Hybrid,Senior,Risk Assessment,1678680,2283825,2026-04-02
JOB-204165,Cloud Architect,IT & Tech,Pune,Remote,Senior,"React, Node.js",1864201,2484734,2026-02-22
JOB-204166,Financial Analyst,Finance,Noida,On-Site,Entry-Level,Risk Assessment,1175006,1416604,2026-03-04
JOB-204167,SEO Specialist,Marketing,Pune,Remote,Mid-Level,Digital Marketing,1174077,1606903,2026-05-17
JOB-204168,Investment Banker,Finance,Pune,On-Site,Entry-Level,Risk Assessment,761444,1014739,2026-02-02
JOB-204169,Risk Manager,Finance,Noida,On-Site,Lead,"Financial Modeling, Excel",2247856,2978427,2026-01-11
JOB-204170,Software Engineer,IT & Tech,Delhi,Hybrid,Executive,"Java, Spring Boot",2856893,4142192,2026-01-08
JOB-204171,Product Manager,IT & Tech,Chennai,Remote,Executive,"Cybersecurity, Network",3131496,4278352,2026-01-23
JOB-204172,Cloud Architect,IT & Tech,Pune,Hybrid,Entry-Level,"AWS, Docker",696633,919911,2026-03-28
JOB-204173,SEO Specialist,Marketing,Bengaluru,Remote,Executive,"SEO, Google Analytics",2591501,3741920,2026-04-19
JOB-204174,Software Engineer,IT & Tech,Pune,Hybrid,Executive,"Python, Machine Learning",3376991,4910963,2026-05-25
JOB-204175,SEO Specialist,Marketing,Bengaluru,Remote,Senior,"SEO, Google Analytics",1491038,2052988,2026-03-20
JOB-204176,Clinical Data Analyst,Healthcare,Gurugram,Remote,Executive,Hospital Administration,2795033,4021718,2026-03-03
JOB-204177,Marketing Manager,Marketing,Hyderabad,Remote,Lead,Content Writing,1884837,2490634,2026-03-04
JOB-204178,Healthcare Administrator,Healthcare,Bengaluru,Remote,Lead,"Healthcare Data, SQL",1812322,2659115,2026-02-02
JOB-204179,Healthcare Administrator,Healthcare,Hyderabad,Hybrid,Executive,"Bioinformatics, Python",2978973,3869103,2026-05-10
JOB-204180,Product Manager,IT & Tech,Noida,On-Site,Lead,"SQL, Tableau, Power BI",1804087,2491834,2026-04-26
JOB-204181,Investment Banker,Finance,Mumbai,Hybrid,Entry-Level,"Financial Modeling, Excel",1016211,1456043,2026-03-14
JOB-204182,Healthcare Administrator,Healthcare,Gurugram,Hybrid,Mid-Level,"Healthcare Data, SQL",1240794,1755244,2026-03-17
JOB-204183,SEO Specialist,Marketing,Gurugram,On-Site,Senior,"SEO, Google Analytics",1421088,1839503,2026-02-15
JOB-204184,Cybersecurity Analyst,IT & Tech,Gurugram,Remote,Senior,"SQL, Tableau, Power BI",1399821,1838299,2026-05-19
JOB-204185,SEO Specialist,Marketing,Bengaluru,Remote,Executive,Social Media Management,2572014,3591779,2026-02-08
JOB-204186,Content Strategist,Marketing,Chennai,Remote,Lead,Content Writing,1731238,2090816,2026-05-26
JOB-204187,Data Scientist,IT & Tech,Bengaluru,Remote,Lead,"Java, Spring Boot",2502383,3631390,2026-03-24
JOB-204188,SEO Specialist,Marketing,Chennai,On-Site,Executive,"SEO, Google Analytics",2523879,3671311,2026-01-03
JOB-204189,Clinical Data Analyst,Healthcare,Noida,Remote,Senior,"Healthcare Data, SQL",1658235,2287241,2026-02-11
JOB-204190,Financial Analyst,Finance,Gurugram,On-Site,Entry-Level,"Financial Modeling, Excel",1007004,1451601,2026-05-31
JOB-204191,Clinical Data Analyst,Healthcare,Gurugram,Hybrid,Entry-Level,"Healthcare Data, SQL",689840,863857,2026-05-20
JOB-204192,DevOps Engineer,IT & Tech,Chennai,On-Site,Entry-Level,"React, Node.js",833384,1224964,2026-05-24
JOB-204193,Financial Analyst,Finance,Chennai,Remote,Executive,Risk Assessment,2534050,3448937,2026-02-24
JOB-204194,Cybersecurity Analyst,IT & Tech,Hyderabad,Hybrid,Entry-Level,"React, Node.js",976099,1339705,2026-03-21
JOB-204195,Risk Manager,Finance,Delhi,Remote,Mid-Level,"Accounting, Tally",1434589,1885556,2026-01-18
JOB-204196,Clinical Data Analyst,Healthcare,Bengaluru,Hybrid,Executive,"Bioinformatics, Python",2537079,3155411,2026-03-19
JOB-204197,Clinical Data Analyst,Healthcare,Mumbai,Hybrid,Lead,Hospital Administration,2180418,2912861,2026-05-20
JOB-204198,Risk Manager,Finance,Bengaluru,On-Site,Mid-Level,"Accounting, Tally",1432605,1886614,2026-04-07
JOB-204199,Bioinformatics Scientist,Healthcare,Delhi,On-Site,Mid-Level,Hospital Administration,1030413,1339975,2026-05-21
JOB-204200,Financial Analyst,Finance,Hyderabad,Remote,Entry-Level,Risk Assessment,490696,655373,2026-04-20
JOB-204201,Marketing Manager,Marketing,Pune,On-Site,Entry-Level,"SEO, Google Analytics",771748,1027131,2026-02-18
JOB-204202,Investment Banker,Finance,Chennai,On-Site,Senior,Investment Analysis,1922208,2438629,2026-04-08
JOB-204203,Bioinformatics Scientist,Healthcare,Mumbai,On-Site,Senior,"Healthcare Data, SQL",1757137,2633963,2026-04-20
JOB-204204,Cybersecurity Analyst,IT & Tech,Hyderabad,Remote,Lead,"Java, Spring Boot",2267680,3211471,2026-03-01
JOB-204205,Social Media Expert,Marketing,Pune,Hybrid,Executive,Content Writing,2594804,3276669,2026-01-06
JOB-204206,Social Media Expert,Marketing,Noida,Remote,Senior,"SEO, Google Analytics",1392274,1846176,2026-04-23
JOB-204207,Social Media Expert,Marketing,Gurugram,Hybrid,Mid-Level,Social Media Management,806323,1110917,2026-03-07
JOB-204208,Healthcare Administrator,Healthcare,Delhi,Hybrid,Senior,"Healthcare Data, SQL",1384301,1881064,2026-01-18
JOB-204209,Social Media Expert,Marketing,Chennai,Remote,Executive,Digital Marketing,2449335,3484003,2026-05-21
